1,322,478
3,322,471
5,324,470
7,328,470
9,337,475
11,337,471
13,337,468
15,337,468
17,337,468
19,341,463
21,343,463
23,345,461
25,349,461
27,356,460
29,356,460
31,356,460
33,356,460
35,356,460
37,356,460
39,356,460
41,356,460
43,356,460
45,356,460
47,356,460
49,356,460
51,352,461
53,352,461
55,352,461
57,352,461
59,352,461
61,352,461
63,352,461
65,352,461
67,347,463
69,341,463
71,341,463
77,328,470
79,326,470
81,326,470
83,326,470
85,322,470
87,322,468
89,322,468
91,322,468
93,322,468
95,322,468
97,322,468
99,322,468
101,322,468
103,322,468
105,322,468
107,322,468
109,322,466
111,322,466
113,322,466
115,303,465
117,305,461
119,305,461
121,305,461
123,305,461
125,305,461
127,305,461
129,305,461
131,305,461
133,305,461
135,305,461
137,305,461
139,305,461
141,305,461
143,305,461
145,301,461
147,301,461
149,301,461
159,305,460
159,297,456
163,297,456
165,297,456
167,297,456
169,297,456
171,297,456
173,297,456
175,297,454
177,297,454
179,297,454
181,297,454
183,297,454
185,297,454
187,297,454
189,297,454
191,297,454
193,297,454
197,297,454
199,297,454
201,297,454
203,297,454
205,297,454
209,297,454
211,297,454
213,299,454
219,307,460
221,309,460
223,312,458
225,314,458
227,316,458
229,318,458
231,322,458
233,324,460
237,339,460
239,339,460
241,339,460
243,341,461
245,343,465
247,343,465
249,345,465
251,349,465
253,349,465
255,354,463
257,358,460
259,343,446
261,343,434
263,343,434
265,343,434
267,345,427
269,347,415
271,349,405
273,349,396
275,352,378
277,352,371
279,352,359
281,352,347
283,358,335
285,362,331
287,368,323
289,373,314
291,373,304
293,364,296
295,356,289
297,354,284
299,345,275
301,341,272
303,337,263
305,337,263
307,322,260
309,322,258
311,326,253
313,328,255
315,324,249
317,324,249
319,324,249
321,324,249
323,324,249
325,331,239
327,331,239
329,331,227
331,331,222
333,331,220
335,331,208
337,331,208
339,331,208
341,331,210
343,333,210
345,333,210
347,316,195
349,316,193
351,316,191
353,316,183
355,316,178
357,316,176
359,316,176
361,316,169
363,316,167
365,316,166
367,316,166
369,318,166
371,318,164
373,309,164
375,314,167
377,318,171
379,318,171
381,318,171
383,320,171
385,320,161
387,320,154
389,320,154
391,314,150
393,314,150
395,314,150
397,312,149
399,307,140
401,307,140
403,307,140
405,301,152
407,301,154
409,301,154
411,307,152
413,318,152
415,324,154
417,328,154
419,335,154
421,335,154
423,324,154
425,322,152
427,322,150
429,322,149
431,326,149
433,326,150
435,324,154
437,320,152
439,320,152
441,320,152
443,320,152
445,320,152
447,316,152
449,307,152
451,305,152
453,305,152
455,305,152
457,305,152
459,307,152
461,314,149
463,314,149
465,314,149
467,314,149
469,314,149
471,312,142
473,307,140
475,307,140
477,307,143
479,307,143
481,307,152
483,307,157
485,307,157
487,307,157
489,299,155
491,286,147
493,293,150
495,297,150
497,299,150
499,299,154
501,299,154
503,301,154
505,314,152
507,318,155
509,318,155
511,322,155
513,324,154
515,331,152
517,339,157
519,331,176
521,331,159
523,339,161
525,343,164
527,343,166
529,339,166
531,339,166
533,339,164
535,339,164
537,333,164
539,328,162
541,328,161
543,328,161
545,324,162
547,324,162
549,320,164
551,320,164
553,320,164
555,320,164
557,320,166
559,322,169
563,343,167
565,354,169
567,356,171
569,356,171
571,368,173
573,368,178
575,368,178
577,368,178
579,368,178
579,368,174
581,356,174
583,356,173
585,354,178
587,345,178
589,343,178
