,idx,x_coord,y_coord
0,0,297,161
1,1,297,161
2,2,303,161
3,3,303,161
4,4,307,161
5,5,307,161
6,6,307,161
7,7,312,161
8,8,309,161
9,9,307,166
10,10,307,167
11,11,307,167
12,12,307,167
13,13,307,167
14,14,307,167
15,15,307,169
16,16,309,169
17,17,309,169
18,18,312,169
19,19,312,169
20,20,312,169
21,21,312,169
22,22,312,169
23,23,312,169
24,24,312,169
25,25,312,169
26,26,312,169
27,27,312,169
28,28,312,169
29,29,324,169
30,30,324,169
31,31,326,167
32,32,326,167
33,33,326,167
34,34,326,167
35,35,326,167
36,36,333,169
37,37,333,169
38,38,333,169
39,39,333,169
40,40,333,169
41,41,333,169
42,42,333,169
43,43,333,169
44,44,333,169
45,45,333,169
46,46,333,169
47,47,339,169
48,48,339,169
49,49,339,169
50,50,339,169
51,51,339,169
52,52,339,169
53,53,339,169
54,54,339,169
55,55,339,169
56,56,339,169
57,57,335,171
58,58,331,171
59,59,328,173
60,60,328,173
61,61,322,173
62,62,322,173
63,63,316,173
64,64,316,173
65,65,316,173
66,66,316,173
67,67,316,173
68,68,316,173
69,69,316,173
70,70,314,171
71,71,303,166
72,72,307,166
73,73,309,167
74,74,309,167
75,75,316,169
76,76,305,167
77,77,309,167
78,78,309,167
79,79,314,169
80,80,312,169
81,81,312,169
82,82,312,169
83,83,312,169
84,84,312,169
85,85,312,169
86,86,312,169
87,87,318,169
88,88,320,173
89,89,324,173
90,90,312,169
91,91,322,171
92,92,322,174
93,93,322,174
94,94,322,174
95,95,324,176
96,96,333,176
97,97,333,176
98,98,339,178
99,99,339,178
100,100,339,178
101,101,337,178
102,102,337,178
103,103,337,178
104,104,331,174
105,105,335,174
106,106,341,174
107,107,341,174
108,108,339,174
109,109,339,174
110,110,339,174
111,111,339,174
112,112,339,174
113,113,339,174
114,114,339,174
115,115,339,174
116,116,339,174
117,117,339,174
118,118,337,176
119,119,337,181
120,120,337,181
121,121,337,181
122,122,337,181
123,123,337,181
124,124,337,181
125,125,337,181
126,126,337,181
127,127,337,181
128,128,337,181
129,129,337,181
130,130,337,181
131,131,337,181
132,132,337,181
133,133,337,179
134,134,337,179
135,135,337,179
136,136,345,179
137,137,347,178
138,138,349,178
139,139,352,178
140,140,354,176
141,141,358,174
142,142,360,174
143,143,366,174
144,144,364,176
145,145,356,173
146,146,360,171
147,147,362,171
148,148,368,173
149,149,368,173
150,150,368,173
151,151,368,173
152,152,368,173
153,153,375,176
154,154,375,176
155,155,377,181
156,156,377,181
157,157,377,181
158,158,379,181
159,159,381,179
160,160,381,179
161,161,381,179
162,162,381,179
163,163,381,179
164,164,381,179
165,165,381,179
166,166,381,179
167,167,381,179
168,168,381,179
169,169,381,179
170,170,389,179
171,171,389,179
172,172,389,179
173,173,389,179
174,174,389,179
175,175,389,179
176,176,381,176
177,177,383,176
178,178,383,176
179,179,383,176
180,180,383,176
181,181,383,176
182,182,383,176
183,183,385,176
184,184,385,176
185,185,385,178
186,186,385,178
187,187,381,183
188,188,381,183
189,189,381,183
190,190,381,183
191,191,381,183
192,192,381,183
193,193,373,183
194,194,373,183
195,195,366,181
196,196,366,181
197,197,366,181
198,198,362,181
199,199,362,181
200,200,362,181
201,201,362,181
202,202,362,181
203,203,362,181
204,204,362,181
205,205,362,181
206,206,362,181
207,207,362,181
208,208,362,181
209,209,362,181
210,210,362,181
211,211,362,181
212,212,366,181
213,213,368,181
214,214,371,181
215,215,371,179
216,216,371,179
217,217,371,179
218,218,377,181
219,219,377,181
220,220,377,181
221,221,377,181
222,222,377,181
223,223,379,181
224,224,379,181
225,225,385,181
226,226,385,183
227,227,385,183
228,228,392,184
229,229,394,184
230,230,394,184
231,231,394,184
232,232,394,184
233,233,400,186
234,234,392,184
235,235,392,184
236,236,392,184
237,237,392,184
238,238,392,184
239,239,392,184
240,240,392,184
241,241,392,184
242,242,392,184
243,243,392,184
244,244,392,184
245,245,392,184
246,246,394,184
247,247,394,184
248,248,394,184
249,249,394,184
250,250,394,184
251,251,394,184
252,252,389,184
253,253,389,184
254,254,389,184
255,255,389,184
256,256,377,184
257,257,377,184
258,258,377,184
259,259,377,184
260,260,377,184
261,261,377,184
262,262,375,184
263,263,375,184
264,264,375,184
265,265,360,184
266,266,360,184
267,267,360,184
268,268,360,184
269,269,360,184
270,270,360,184
271,271,360,184
272,272,360,184
273,273,360,184
274,274,360,184
275,275,360,184
276,276,360,184
277,277,360,184
278,278,360,184
279,279,360,184
280,280,360,184
